@relation  Iris_Plants_Database
@attribute sepalLength {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute sepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute petalLength {0,1,2}
@attribute petalWidth {0,1,2}
@attribute class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs sepalLength,sepalWidth,petalLength,petalWidth
@outputs class
@data
3,7,0,0,Iris-setosa
1,3,0,0,Iris-setosa
0,5,0,0,Iris-setosa
3,9,0,0,Iris-setosa
3,9,0,0,Iris-setosa
0,7,0,0,Iris-setosa
4,9,0,0,Iris-setosa
3,9,0,0,Iris-setosa
3,7,0,0,Iris-setosa
4,9,0,0,Iris-setosa
3,6,0,0,Iris-setosa
2,3,0,0,Iris-setosa
3,7,0,0,Iris-setosa
3,7,0,0,Iris-setosa
0,5,0,0,Iris-setosa
0,4,0,0,Iris-setosa
3,9,0,0,Iris-setosa
4,9,0,0,Iris-setosa
0,3,0,0,Iris-setosa
3,7,0,0,Iris-setosa
0,5,0,0,Iris-setosa
2,7,0,0,Iris-setosa
3,9,0,0,Iris-setosa
0,3,0,0,Iris-setosa
3,9,0,0,Iris-setosa
10,4,1,1,Iris-versicolor
4,0,1,1,Iris-versicolor
9,1,1,1,Iris-versicolor
9,6,1,1,Iris-versicolor
3,0,1,1,Iris-versicolor
2,0,1,1,Iris-versicolor
5,3,1,1,Iris-versicolor
4,2,1,1,Iris-versicolor
4,3,1,1,Iris-versicolor
5,0,1,1,Iris-versicolor
8,0,1,1,Iris-versicolor
9,0,1,1,Iris-versicolor
9,1,1,1,Iris-versicolor
6,2,1,1,Iris-versicolor
4,0,1,1,Iris-versicolor
6,0,2,1,Iris-versicolor
3,3,1,1,Iris-versicolor
4,0,1,1,Iris-versicolor
2,0,1,1,Iris-versicolor
4,0,1,1,Iris-versicolor
4,3,1,1,Iris-versicolor
4,2,1,1,Iris-versicolor
8,2,1,1,Iris-versicolor
3,0,1,1,Iris-versicolor
4,1,1,1,Iris-versicolor
9,6,2,2,Iris-virginica
5,0,2,2,Iris-virginica
9,2,2,2,Iris-virginica
9,3,2,2,Iris-virginica
11,3,2,2,Iris-virginica
1,0,1,2,Iris-virginica
11,8,2,2,Iris-virginica
9,3,2,2,Iris-virginica
10,5,2,2,Iris-virginica
11,1,2,2,Iris-virginica
11,5,2,2,Iris-virginica
7,3,1,2,Iris-virginica
9,1,2,2,Iris-virginica
11,3,2,1,Iris-virginica
9,1,2,2,Iris-virginica
9,1,2,1,Iris-virginica
9,7,2,2,Iris-virginica
9,4,2,2,Iris-virginica
9,5,2,2,Iris-virginica
9,6,2,2,Iris-virginica
9,3,2,2,Iris-virginica
9,0,2,2,Iris-virginica
9,3,2,2,Iris-virginica
8,7,2,2,Iris-virginica
5,3,2,2,Iris-virginica
