@relation  Iris_Plants_Database
@attribute sepalLength {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute sepalWidth {0,1,2,3,4,5,6,7}
@attribute petalLength {0,1,2,3,4,5}
@attribute petalWidth {0,1,2,3,4}
@attribute class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs sepalLength,sepalWidth,petalLength,petalWidth
@outputs class
@data
0,7,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,5,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,3,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
2,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
1,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,6,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,5,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
10,5,1,1,Iris-versicolor
9,4,3,1,Iris-versicolor
1,3,1,1,Iris-versicolor
0,0,1,1,Iris-versicolor
7,3,1,1,Iris-versicolor
3,4,1,1,Iris-versicolor
3,0,1,1,Iris-versicolor
8,4,1,1,Iris-versicolor
2,3,1,1,Iris-versicolor
5,0,1,1,Iris-versicolor
4,3,1,1,Iris-versicolor
6,1,3,1,Iris-versicolor
4,3,1,1,Iris-versicolor
7,4,1,1,Iris-versicolor
8,3,2,1,Iris-versicolor
8,4,4,3,Iris-versicolor
1,0,1,1,Iris-versicolor
0,4,1,1,Iris-versicolor
8,4,1,1,Iris-versicolor
6,0,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,3,1,1,Iris-versicolor
1,4,1,1,Iris-versicolor
5,3,1,1,Iris-versicolor
1,3,1,1,Iris-versicolor
6,6,5,4,Iris-virginica
11,4,5,4,Iris-virginica
2,3,5,4,Iris-virginica
6,5,5,4,Iris-virginica
6,4,5,4,Iris-virginica
11,2,5,4,Iris-virginica
5,3,2,4,Iris-virginica
11,4,5,2,Iris-virginica
6,3,5,1,Iris-virginica
4,2,5,1,Iris-virginica
11,4,5,4,Iris-virginica
6,7,5,4,Iris-virginica
6,4,5,4,Iris-virginica
3,4,2,4,Iris-virginica
9,4,5,4,Iris-virginica
8,4,5,4,Iris-virginica
9,4,5,4,Iris-virginica
2,3,5,4,Iris-virginica
8,5,5,4,Iris-virginica
8,6,5,4,Iris-virginica
8,4,5,4,Iris-virginica
6,1,4,4,Iris-virginica
6,4,5,4,Iris-virginica
5,7,5,4,Iris-virginica
3,4,5,4,Iris-virginica
