@relation  Iris_Plants_Database
@attribute sepalLength {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute sepalWidth {0,1,2,3,4,5,6,7}
@attribute petalLength {0,1,2,3,4,5}
@attribute petalWidth {0,1,2,3,4}
@attribute class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs sepalLength,sepalWidth,petalLength,petalWidth
@outputs class
@data
0,4,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,4,0,0,Iris-setosa
1,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,4,0,0,Iris-setosa
1,7,0,0,Iris-setosa
0,5,0,0,Iris-setosa
1,7,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,0,0,0,Iris-setosa
0,5,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,4,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,5,0,0,Iris-setosa
0,7,0,0,Iris-setosa
0,6,0,0,Iris-setosa
6,5,1,1,Iris-versicolor
1,0,1,1,Iris-versicolor
6,3,1,1,Iris-versicolor
6,6,1,2,Iris-versicolor
0,3,1,1,Iris-versicolor
0,0,1,1,Iris-versicolor
4,3,1,1,Iris-versicolor
1,3,1,1,Iris-versicolor
1,4,1,1,Iris-versicolor
1,1,1,1,Iris-versicolor
3,5,2,4,Iris-versicolor
6,3,1,1,Iris-versicolor
3,3,1,1,Iris-versicolor
1,2,1,1,Iris-versicolor
1,0,1,1,Iris-versicolor
2,3,1,1,Iris-versicolor
3,3,5,2,Iris-versicolor
3,7,1,2,Iris-versicolor
1,4,1,1,Iris-versicolor
1,1,1,1,Iris-versicolor
4,4,1,1,Iris-versicolor
2,2,1,1,Iris-versicolor
0,0,1,1,Iris-versicolor
1,3,1,1,Iris-versicolor
0,1,1,1,Iris-versicolor
2,3,5,4,Iris-virginica
11,4,5,4,Iris-virginica
6,3,5,4,Iris-virginica
6,4,5,4,Iris-virginica
0,1,1,3,Iris-virginica
11,3,5,4,Iris-virginica
8,1,5,4,Iris-virginica
11,7,5,4,Iris-virginica
6,5,5,4,Iris-virginica
6,3,5,4,Iris-virginica
8,4,5,4,Iris-virginica
1,1,4,4,Iris-virginica
11,7,5,4,Iris-virginica
3,0,4,1,Iris-virginica
9,5,5,4,Iris-virginica
1,3,3,4,Iris-virginica
11,3,5,4,Iris-virginica
6,3,3,4,Iris-virginica
8,6,5,4,Iris-virginica
11,5,5,4,Iris-virginica
4,4,3,4,Iris-virginica
6,3,5,4,Iris-virginica
11,3,5,4,Iris-virginica
11,7,5,4,Iris-virginica
6,3,5,4,Iris-virginica
