@relation  Iris_Plants_Database
@attribute sepalLength {0,1,2,3,4,5,6,7,8,9,10}
@attribute sepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute petalLength {0,1,2,3,4}
@attribute petalWidth {0,1,2,3}
@attribute class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs sepalLength,sepalWidth,petalLength,petalWidth
@outputs class
@data
2,9,0,0,Iris-setosa
1,7,0,0,Iris-setosa
0,8,0,0,Iris-setosa
0,7,0,0,Iris-setosa
2,9,0,0,Iris-setosa
2,9,0,0,Iris-setosa
2,9,0,0,Iris-setosa
0,7,0,0,Iris-setosa
1,7,0,0,Iris-setosa
2,9,0,0,Iris-setosa
5,9,0,0,Iris-setosa
2,9,0,0,Iris-setosa
2,9,0,0,Iris-setosa
0,9,0,0,Iris-setosa
2,8,0,0,Iris-setosa
2,9,0,0,Iris-setosa
0,7,0,0,Iris-setosa
1,7,0,0,Iris-setosa
2,9,0,0,Iris-setosa
0,8,0,0,Iris-setosa
2,9,0,0,Iris-setosa
0,7,0,0,Iris-setosa
2,9,0,0,Iris-setosa
0,8,0,0,Iris-setosa
2,8,0,0,Iris-setosa
9,8,1,1,Iris-versicolor
6,8,1,1,Iris-versicolor
2,2,1,1,Iris-versicolor
6,6,1,1,Iris-versicolor
4,6,1,1,Iris-versicolor
6,8,1,1,Iris-versicolor
7,7,1,1,Iris-versicolor
5,1,1,1,Iris-versicolor
5,5,1,1,Iris-versicolor
6,4,2,1,Iris-versicolor
5,6,1,1,Iris-versicolor
6,7,1,1,Iris-versicolor
8,6,1,1,Iris-versicolor
4,4,1,1,Iris-versicolor
2,3,1,1,Iris-versicolor
2,3,1,1,Iris-versicolor
2,7,1,1,Iris-versicolor
5,9,1,1,Iris-versicolor
2,4,1,1,Iris-versicolor
2,4,1,1,Iris-versicolor
2,2,1,1,Iris-versicolor
3,5,1,1,Iris-versicolor
5,7,1,1,Iris-versicolor
2,4,1,1,Iris-versicolor
4,6,1,1,Iris-versicolor
5,5,3,3,Iris-virginica
10,7,4,3,Iris-virginica
6,7,4,3,Iris-virginica
7,4,4,3,Iris-virginica
10,9,4,3,Iris-virginica
6,8,3,3,Iris-virginica
5,6,3,3,Iris-virginica
10,9,4,3,Iris-virginica
10,6,4,3,Iris-virginica
7,8,4,3,Iris-virginica
5,6,1,3,Iris-virginica
5,7,2,3,Iris-virginica
10,7,4,1,Iris-virginica
6,6,4,3,Iris-virginica
6,6,3,1,Iris-virginica
10,7,4,3,Iris-virginica
5,7,1,3,Iris-virginica
9,7,4,3,Iris-virginica
9,7,3,3,Iris-virginica
5,5,3,3,Iris-virginica
7,7,4,3,Iris-virginica
6,4,2,3,Iris-virginica
6,7,4,3,Iris-virginica
5,9,4,3,Iris-virginica
5,7,3,3,Iris-virginica
